Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352368714.691,284203750000,288833322724.044,363137495039.856,334490355492.26,425916078731.8,533200293249.748,548934618735.756,554155198994.424,529726189460.922,583168571071.407,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,310954982685.648,414951956289.644,853053309256.497,1054557743957.03,926563834486.821,1142250506474.06,1389919156068.22,1537477830480.51,1563950959269.52,1454675479665.84,1339539063150.01,..
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,461951782000,655421153320.579,1397084381901.29,1695824517395.57,1667020106031.81,2208872214643.02,2614573170731.71,2460658440428.04,2465773850934.56,2417046323841.9,1774724818900.48,..
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,593929550908.468,742293448252.643,1464977190205.75,1549131208997.19,1371153004986.44,1613406134731.12,1788703385548.26,1824288757447.57,1837443486716.34,1783775590895.93,1550536520141.93,..
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,358973230048.399,1205260678391.96,3523094314820.9,4558431073438.2,5059419738267.41,6039658508485.59,7492432097810.11,8461623162714.07,9490602600148.49,10351111762216.4,10866443998394.2,..
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,1275300566196.84,1368438363736.87,2663112510265.54,2923465651091.26,2693827452070.02,2646994701986.75,2862502085070.89,2681416108537.39,2808511203185.39,2829192039171.84,2421682377730.95,..
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,1764967948916.6,1949953934033.54,3439953462907.2,3752365607148.09,3418005001389.27,3417298013245.03,3757464553794.83,3539615377794.51,3745317149399.13,3868291231823.77,3355772429854.72,..
GDP (current US$),NY.GDP.MKTP.CD,India,IND,326608014285.316,476609148165.173,1238699170079.01,1224097069459.66,1365371474048.19,1708458876829.92,1815865716201.58,1824960308640.71,1863208343557.81,2042438591343.98,2073542978208.77,..
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,114426498045.009,165021012261.411,432216737774.861,510228634992.258,539580085612.401,755094157594.527,892969104529.574,917869913364.916,912524136718.019,890487074595.966,861933968740.332,..
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,1177326298642.53,1141760021927.4,2203053327128.39,2390729210487.77,2185160158794.11,2125184794172.19,2276150874756.74,2072823111961.1,2130330362918.37,2138540909211.12,1814762858045.91,..
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,3103698099973.41,4731198760271.14,4356347794333.08,4849184641953.57,5035141567658.9,5498717815809.77,5908989186412.22,5957250118648.75,4908862837290.47,4596156556721.9,4123257609614.74,..
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,262709785592.711,683647980782.407,1043471321169.09,1101275278668.79,894948748436.748,1051128603513.77,1171187519660.64,1186598324461.82,1261832901816.47,1297845522512.7,1144331343172.45,..
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,516814258695.568,259708496267.33,1299705764823.62,1660846387624.78,1222644282201.86,1524917468442.01,2031771419408.96,2170145829223.92,2230628062254.41,2030972571014.27,1326015096948.19,..
GDP (current US$),NY.GDP.MKTP.CD,Saudi Arabia,SAU,116778104138.852,188441866666.667,415964509673.115,519796800000,429097866666.667,526811466666.667,669506666666.667,733955733333.333,744335733333.333,753831466666.667,646001866666.667,..
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,112014836393.151,136361791002.623,299415359539.558,286769850239.675,295936471258.128,375349442837.24,416596716626.957,397386418270.402,366057913372.207,349873026988.676,312797576593.594,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,284757121057.986,561633037419.537,1122679154632.41,1002219052967.54,901934953364.711,1094499338702.72,1202463682633.85,1222807195712.49,1305604981271.91,1411333926201.24,1377873107856.33,..
GDP (current US$),NY.GDP.MKTP.CD,Turkey,TUR,150676291094.21,266567532789.507,647155131629.442,730337495197.849,614553921935.484,731168051636.944,774754155820.895,788863301224.944,823242587456.666,798797266164.039,718221078308.824,..
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,1093169389204.55,1554801028899.98,2969733893557.42,2793376838235.29,2314577036921.64,2403504326328.8,2594904662714.31,2630472981169.65,2712296271989.99,2990201431078.23,2848755449421.34,..
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,5979589000000,10284779000000,14477635000000,14718582000000,14418739000000,14964372000000,15517926000000,16155255000000,16663160000000,17348071500000,17946996000000,..
